date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-09-12,TRADED,5,0,5,0,5,0,0,1,4,0,-228.51,-45.70,454.99,-276.32,1,4,683.50,
2025-09-13,TRADED,6,0,3,3,6,0,0,1,5,0,-45.32,-7.55,394.34,-134.14,1,5,439.66,
2025-09-14,TRADED,12,0,7,5,12,0,0,1,11,0,-743.39,-61.95,38.55,-145.58,1,10,743.39,
2025-09-15,TRADED,9,0,5,4,9,0,0,0,9,0,-2147.74,-238.64,-21.31,-605.40,0,9,2147.74,
2025-09-16,TRADED,8,0,5,3,8,0,0,1,7,0,-1016.60,-127.08,12.34,-265.86,1,6,1016.60,
2025-09-17,TRADED,3,0,1,2,3,0,0,1,2,0,242.02,80.67,474.13,-124.02,1,2,232.11,
2025-09-18,TRADED,2,0,2,0,2,0,0,1,1,0,613.11,306.55,895.02,-281.91,1,1,281.91,
2025-09-19,TRADED,2,0,1,1,2,0,0,0,2,0,-319.76,-159.88,-120.43,-199.33,0,2,319.76,
2025-09-20,TRADED,7,0,3,4,7,0,0,1,6,0,981.03,140.15,1357.14,-138.28,1,6,376.11,
2025-09-21,TRADED,7,0,2,5,7,0,0,1,6,0,-377.27,-53.90,22.02,-104.14,1,6,399.29,
2025-09-22,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-09-23,TRADED,6,0,4,2,6,0,0,2,4,0,2242.47,373.74,2887.40,-307.19,2,4,658.56,
2025-09-24,TRADED,3,0,2,1,3,0,0,0,3,0,-861.30,-287.10,-148.99,-534.07,0,3,861.30,
2025-09-25,TRADED,2,0,1,1,2,0,0,1,1,0,46.09,23.05,382.92,-336.83,1,1,336.83,
2025-09-26,TRADED,6,0,3,3,6,0,0,1,5,0,2221.61,370.27,3192.47,-554.52,1,5,970.86,
2025-09-27,TRADED,9,0,4,5,9,0,0,0,9,0,-515.10,-57.23,-4.40,-139.86,0,9,515.10,
2025-09-28,TRADED,12,0,5,7,12,0,0,0,12,0,-754.21,-62.85,-0.06,-185.66,0,12,754.21,
2025-09-29,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-09-30,TRADED,2,0,1,1,2,0,0,1,1,0,3766.57,1883.29,4057.80,-291.23,1,1,291.23,
2025-10-01,TRADED,1,0,1,0,1,0,0,0,1,0,-589.91,-589.91,-589.91,-589.91,0,1,589.91,
2025-10-02,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-10-03,TRADED,3,0,2,1,3,0,0,2,1,0,5693.44,1897.81,5769.11,-157.73,1,1,157.73,
2025-10-04,TRADED,5,0,2,3,5,0,0,1,4,0,525.68,105.14,1061.22,-159.85,1,4,535.54,
2025-10-05,TRADED,7,0,6,1,7,0,0,1,6,0,-380.32,-54.33,604.30,-491.43,1,6,984.62,
2025-10-06,TRADED,6,0,4,2,6,0,0,0,6,0,-1799.62,-299.94,-47.18,-636.04,0,6,1799.62,
2025-10-07,TRADED,7,0,3,4,7,0,0,1,6,0,-186.90,-26.70,1151.42,-296.70,1,6,1338.32,
2025-10-08,TRADED,3,0,2,1,3,0,0,1,2,0,566.59,188.86,1560.15,-643.60,1,2,993.56,
2025-10-09,TRADED,4,0,2,2,4,0,0,1,3,0,45.41,11.35,395.81,-177.21,1,3,350.40,
2025-10-10,TRADED,9,0,5,4,9,0,0,1,8,0,-1161.54,-129.06,76.47,-415.71,1,6,1161.54,
2025-10-11,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-10-12,TRADED,6,0,3,3,6,0,0,1,5,0,7925.68,1320.95,9000.23,-481.98,1,5,1074.55,
2025-10-13,TRADED,8,0,3,5,8,0,0,1,7,0,-413.59,-51.70,1996.45,-704.41,1,7,2410.04,
2025-10-14,TRADED,6,0,3,3,6,0,0,1,5,0,913.91,152.32,1851.88,-308.77,1,3,703.51,
