trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
151,2026-04-28T15:20:00+05:30,2026-04-28,equity,BHARTIARTL_NS,449.2,73311.73,-26688.27,-26.6883
152,2026-04-28T15:20:00+05:30,2026-04-28,equity,HDFCBANK_NS,270.1,73581.83,-26418.17,-26.4182
153,2026-04-28T15:20:00+05:30,2026-04-28,equity,INFY_NS,-12.6,73569.23,-26430.77,-26.4308
154,2026-04-28T15:20:00+05:30,2026-04-28,equity,KOTAKBANK_NS,-612.35,72956.88,-27043.12,-27.0431
155,2026-04-28T15:20:00+05:30,2026-04-28,equity,RELIANCE_NS,403.2,73360.08,-26639.92,-26.6399
156,2026-04-28T15:20:00+05:30,2026-04-28,equity,SBIN_NS,-133.6,73226.48,-26773.52,-26.7735
157,2026-04-28T15:20:00-04:00,2026-04-28,commodities,CLF,-124.24,73102.24,-26897.76,-26.8978
158,2026-04-28T15:20:00-04:00,2026-04-28,commodities,GCF,-168.2,72934.04,-27065.96,-27.066
159,2026-04-28T15:20:00-04:00,2026-04-28,commodities,HGF,-817.42,72116.62,-27883.38,-27.8834
160,2026-04-28T15:20:00-04:00,2026-04-28,commodities,SIF,-374.21,71742.41,-28257.59,-28.2576
161,2026-04-29T12:15:00+05:30,2026-04-29,equity,ITC_NS,1313.25,73055.66,-26944.34,-26.9443
162,2026-04-29T12:15:00+05:30,2026-04-29,equity,KOTAKBANK_NS,-123.8,72931.86,-27068.14,-27.0681
163,2026-04-29T12:15:00+05:30,2026-04-29,equity,LT_NS,255.2,73187.06,-26812.94,-26.8129
164,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,CNXAUTO,-17.9,73169.16,-26830.84,-26.8308
165,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,CNXFMCG,391.45,73560.61,-26439.39,-26.4394
166,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,CNXIT,-60.7,73499.91,-26500.09,-26.5001
167,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,NSEI,240.85,73740.76,-26259.24,-26.2592
